fecha;anio;mes;nombre_mes;trimestre;dia;dia_semana;periodo
2024-12-31;2024;12;December;4;31;Tuesday;2024-12
2025-01-01;2025;1;January;1;1;Wednesday;2025-01
2025-01-02;2025;1;January;1;2;Thursday;2025-01
2025-01-03;2025;1;January;1;3;Friday;2025-01
2025-01-04;2025;1;January;1;4;Saturday;2025-01
2025-01-05;2025;1;January;1;5;Sunday;2025-01
2025-01-06;2025;1;January;1;6;Monday;2025-01
2025-01-07;2025;1;January;1;7;Tuesday;2025-01
2025-01-08;2025;1;January;1;8;Wednesday;2025-01
2025-01-09;2025;1;January;1;9;Thursday;2025-01
2025-01-10;2025;1;January;1;10;Friday;2025-01
2025-01-11;2025;1;January;1;11;Saturday;2025-01
2025-01-12;2025;1;January;1;12;Sunday;2025-01
2025-01-13;2025;1;January;1;13;Monday;2025-01
2025-01-14;2025;1;January;1;14;Tuesday;2025-01
2025-01-15;2025;1;January;1;15;Wednesday;2025-01
2025-01-16;2025;1;January;1;16;Thursday;2025-01
2025-01-17;2025;1;January;1;17;Friday;2025-01
2025-01-18;2025;1;January;1;18;Saturday;2025-01
2025-01-19;2025;1;January;1;19;Sunday;2025-01
2025-01-20;2025;1;January;1;20;Monday;2025-01
2025-01-21;2025;1;January;1;21;Tuesday;2025-01
2025-01-22;2025;1;January;1;22;Wednesday;2025-01
2025-01-23;2025;1;January;1;23;Thursday;2025-01
2025-01-24;2025;1;January;1;24;Friday;2025-01
2025-01-25;2025;1;January;1;25;Saturday;2025-01
2025-01-26;2025;1;January;1;26;Sunday;2025-01
2025-01-27;2025;1;January;1;27;Monday;2025-01
2025-01-28;2025;1;January;1;28;Tuesday;2025-01
2025-01-29;2025;1;January;1;29;Wednesday;2025-01
2025-01-30;2025;1;January;1;30;Thursday;2025-01
2025-01-31;2025;1;January;1;31;Friday;2025-01
2025-02-01;2025;2;February;1;1;Saturday;2025-02
2025-02-02;2025;2;February;1;2;Sunday;2025-02
2025-02-03;2025;2;February;1;3;Monday;2025-02
2025-02-04;2025;2;February;1;4;Tuesday;2025-02
2025-02-05;2025;2;February;1;5;Wednesday;2025-02
2025-02-06;2025;2;February;1;6;Thursday;2025-02
2025-02-07;2025;2;February;1;7;Friday;2025-02
2025-02-08;2025;2;February;1;8;Saturday;2025-02
2025-02-09;2025;2;February;1;9;Sunday;2025-02
2025-02-10;2025;2;February;1;10;Monday;2025-02
2025-02-11;2025;2;February;1;11;Tuesday;2025-02
2025-02-12;2025;2;February;1;12;Wednesday;2025-02
2025-02-13;2025;2;February;1;13;Thursday;2025-02
2025-02-14;2025;2;February;1;14;Friday;2025-02
2025-02-15;2025;2;February;1;15;Saturday;2025-02
2025-02-16;2025;2;February;1;16;Sunday;2025-02
2025-02-17;2025;2;February;1;17;Monday;2025-02
2025-02-18;2025;2;February;1;18;Tuesday;2025-02
2025-02-19;2025;2;February;1;19;Wednesday;2025-02
2025-02-20;2025;2;February;1;20;Thursday;2025-02
2025-02-21;2025;2;February;1;21;Friday;2025-02
2025-02-22;2025;2;February;1;22;Saturday;2025-02
2025-02-23;2025;2;February;1;23;Sunday;2025-02
2025-02-24;2025;2;February;1;24;Monday;2025-02
2025-02-25;2025;2;February;1;25;Tuesday;2025-02
2025-02-26;2025;2;February;1;26;Wednesday;2025-02
2025-02-27;2025;2;February;1;27;Thursday;2025-02
2025-02-28;2025;2;February;1;28;Friday;2025-02
2025-03-01;2025;3;March;1;1;Saturday;2025-03
2025-03-02;2025;3;March;1;2;Sunday;2025-03
2025-03-03;2025;3;March;1;3;Monday;2025-03
2025-03-04;2025;3;March;1;4;Tuesday;2025-03
2025-03-05;2025;3;March;1;5;Wednesday;2025-03
2025-03-06;2025;3;March;1;6;Thursday;2025-03
2025-03-07;2025;3;March;1;7;Friday;2025-03
2025-03-08;2025;3;March;1;8;Saturday;2025-03
2025-03-09;2025;3;March;1;9;Sunday;2025-03
2025-03-10;2025;3;March;1;10;Monday;2025-03
2025-03-11;2025;3;March;1;11;Tuesday;2025-03
2025-03-12;2025;3;March;1;12;Wednesday;2025-03
2025-03-13;2025;3;March;1;13;Thursday;2025-03
2025-03-14;2025;3;March;1;14;Friday;2025-03
2025-03-15;2025;3;March;1;15;Saturday;2025-03
2025-03-16;2025;3;March;1;16;Sunday;2025-03
2025-03-17;2025;3;March;1;17;Monday;2025-03
2025-03-18;2025;3;March;1;18;Tuesday;2025-03
2025-03-19;2025;3;March;1;19;Wednesday;2025-03
2025-03-20;2025;3;March;1;20;Thursday;2025-03
2025-03-21;2025;3;March;1;21;Friday;2025-03
2025-03-22;2025;3;March;1;22;Saturday;2025-03
2025-03-23;2025;3;March;1;23;Sunday;2025-03
2025-03-24;2025;3;March;1;24;Monday;2025-03
2025-03-25;2025;3;March;1;25;Tuesday;2025-03
2025-03-26;2025;3;March;1;26;Wednesday;2025-03
2025-03-27;2025;3;March;1;27;Thursday;2025-03
2025-03-28;2025;3;March;1;28;Friday;2025-03
2025-03-29;2025;3;March;1;29;Saturday;2025-03
2025-03-30;2025;3;March;1;30;Sunday;2025-03
2025-03-31;2025;3;March;1;31;Monday;2025-03
2025-04-01;2025;4;April;2;1;Tuesday;2025-04
2025-04-02;2025;4;April;2;2;Wednesday;2025-04
2025-04-03;2025;4;April;2;3;Thursday;2025-04
2025-04-04;2025;4;April;2;4;Friday;2025-04
2025-04-05;2025;4;April;2;5;Saturday;2025-04
2025-04-06;2025;4;April;2;6;Sunday;2025-04
2025-04-07;2025;4;April;2;7;Monday;2025-04
2025-04-08;2025;4;April;2;8;Tuesday;2025-04
2025-04-09;2025;4;April;2;9;Wednesday;2025-04
2025-04-10;2025;4;April;2;10;Thursday;2025-04
2025-04-11;2025;4;April;2;11;Friday;2025-04
2025-04-12;2025;4;April;2;12;Saturday;2025-04
2025-04-13;2025;4;April;2;13;Sunday;2025-04
2025-04-14;2025;4;April;2;14;Monday;2025-04
2025-04-15;2025;4;April;2;15;Tuesday;2025-04
2025-04-16;2025;4;April;2;16;Wednesday;2025-04
2025-04-17;2025;4;April;2;17;Thursday;2025-04
2025-04-18;2025;4;April;2;18;Friday;2025-04
2025-04-19;2025;4;April;2;19;Saturday;2025-04
2025-04-20;2025;4;April;2;20;Sunday;2025-04
2025-04-21;2025;4;April;2;21;Monday;2025-04
2025-04-22;2025;4;April;2;22;Tuesday;2025-04
2025-04-23;2025;4;April;2;23;Wednesday;2025-04
2025-04-24;2025;4;April;2;24;Thursday;2025-04
2025-04-25;2025;4;April;2;25;Friday;2025-04
2025-04-26;2025;4;April;2;26;Saturday;2025-04
2025-04-27;2025;4;April;2;27;Sunday;2025-04
2025-04-28;2025;4;April;2;28;Monday;2025-04
2025-04-29;2025;4;April;2;29;Tuesday;2025-04
2025-04-30;2025;4;April;2;30;Wednesday;2025-04
2025-05-01;2025;5;May;2;1;Thursday;2025-05
2025-05-02;2025;5;May;2;2;Friday;2025-05
2025-05-03;2025;5;May;2;3;Saturday;2025-05
2025-05-04;2025;5;May;2;4;Sunday;2025-05
2025-05-05;2025;5;May;2;5;Monday;2025-05
2025-05-06;2025;5;May;2;6;Tuesday;2025-05
2025-05-07;2025;5;May;2;7;Wednesday;2025-05
2025-05-08;2025;5;May;2;8;Thursday;2025-05
2025-05-09;2025;5;May;2;9;Friday;2025-05
2025-05-10;2025;5;May;2;10;Saturday;2025-05
2025-05-11;2025;5;May;2;11;Sunday;2025-05
2025-05-12;2025;5;May;2;12;Monday;2025-05
2025-05-13;2025;5;May;2;13;Tuesday;2025-05
2025-05-14;2025;5;May;2;14;Wednesday;2025-05
2025-05-15;2025;5;May;2;15;Thursday;2025-05
2025-05-16;2025;5;May;2;16;Friday;2025-05
2025-05-17;2025;5;May;2;17;Saturday;2025-05
2025-05-18;2025;5;May;2;18;Sunday;2025-05
2025-05-19;2025;5;May;2;19;Monday;2025-05
2025-05-20;2025;5;May;2;20;Tuesday;2025-05
2025-05-21;2025;5;May;2;21;Wednesday;2025-05
2025-05-22;2025;5;May;2;22;Thursday;2025-05
2025-05-23;2025;5;May;2;23;Friday;2025-05
2025-05-24;2025;5;May;2;24;Saturday;2025-05
2025-05-25;2025;5;May;2;25;Sunday;2025-05
2025-05-26;2025;5;May;2;26;Monday;2025-05
2025-05-27;2025;5;May;2;27;Tuesday;2025-05
2025-05-28;2025;5;May;2;28;Wednesday;2025-05
2025-05-29;2025;5;May;2;29;Thursday;2025-05
2025-05-30;2025;5;May;2;30;Friday;2025-05
2025-05-31;2025;5;May;2;31;Saturday;2025-05
2025-06-01;2025;6;June;2;1;Sunday;2025-06
2025-06-02;2025;6;June;2;2;Monday;2025-06
2025-06-03;2025;6;June;2;3;Tuesday;2025-06
2025-06-04;2025;6;June;2;4;Wednesday;2025-06
2025-06-05;2025;6;June;2;5;Thursday;2025-06
2025-06-06;2025;6;June;2;6;Friday;2025-06
2025-06-07;2025;6;June;2;7;Saturday;2025-06
2025-06-08;2025;6;June;2;8;Sunday;2025-06
2025-06-09;2025;6;June;2;9;Monday;2025-06
2025-06-10;2025;6;June;2;10;Tuesday;2025-06
2025-06-11;2025;6;June;2;11;Wednesday;2025-06
2025-06-12;2025;6;June;2;12;Thursday;2025-06
2025-06-13;2025;6;June;2;13;Friday;2025-06
2025-06-14;2025;6;June;2;14;Saturday;2025-06
2025-06-15;2025;6;June;2;15;Sunday;2025-06
2025-06-16;2025;6;June;2;16;Monday;2025-06
2025-06-17;2025;6;June;2;17;Tuesday;2025-06
2025-06-18;2025;6;June;2;18;Wednesday;2025-06
2025-06-19;2025;6;June;2;19;Thursday;2025-06
2025-06-20;2025;6;June;2;20;Friday;2025-06
2025-06-21;2025;6;June;2;21;Saturday;2025-06
2025-06-22;2025;6;June;2;22;Sunday;2025-06
2025-06-23;2025;6;June;2;23;Monday;2025-06
2025-06-24;2025;6;June;2;24;Tuesday;2025-06
2025-06-25;2025;6;June;2;25;Wednesday;2025-06
2025-06-26;2025;6;June;2;26;Thursday;2025-06
2025-06-27;2025;6;June;2;27;Friday;2025-06
2025-06-28;2025;6;June;2;28;Saturday;2025-06
2025-06-29;2025;6;June;2;29;Sunday;2025-06
2025-06-30;2025;6;June;2;30;Monday;2025-06
2025-07-01;2025;7;July;3;1;Tuesday;2025-07
2025-07-02;2025;7;July;3;2;Wednesday;2025-07
2025-07-03;2025;7;July;3;3;Thursday;2025-07
2025-07-04;2025;7;July;3;4;Friday;2025-07
2025-07-05;2025;7;July;3;5;Saturday;2025-07
2025-07-06;2025;7;July;3;6;Sunday;2025-07
2025-07-07;2025;7;July;3;7;Monday;2025-07
2025-07-08;2025;7;July;3;8;Tuesday;2025-07
2025-07-09;2025;7;July;3;9;Wednesday;2025-07
2025-07-10;2025;7;July;3;10;Thursday;2025-07
2025-07-11;2025;7;July;3;11;Friday;2025-07
2025-07-12;2025;7;July;3;12;Saturday;2025-07
2025-07-13;2025;7;July;3;13;Sunday;2025-07
2025-07-14;2025;7;July;3;14;Monday;2025-07
2025-07-15;2025;7;July;3;15;Tuesday;2025-07
2025-07-16;2025;7;July;3;16;Wednesday;2025-07
2025-07-17;2025;7;July;3;17;Thursday;2025-07
2025-07-18;2025;7;July;3;18;Friday;2025-07
2025-07-19;2025;7;July;3;19;Saturday;2025-07
2025-07-20;2025;7;July;3;20;Sunday;2025-07
2025-07-21;2025;7;July;3;21;Monday;2025-07
2025-07-22;2025;7;July;3;22;Tuesday;2025-07
2025-07-23;2025;7;July;3;23;Wednesday;2025-07
2025-07-24;2025;7;July;3;24;Thursday;2025-07
2025-07-25;2025;7;July;3;25;Friday;2025-07
2025-07-26;2025;7;July;3;26;Saturday;2025-07
2025-07-27;2025;7;July;3;27;Sunday;2025-07
2025-07-28;2025;7;July;3;28;Monday;2025-07
2025-07-29;2025;7;July;3;29;Tuesday;2025-07
2025-07-30;2025;7;July;3;30;Wednesday;2025-07
2025-07-31;2025;7;July;3;31;Thursday;2025-07
2025-08-01;2025;8;August;3;1;Friday;2025-08
2025-08-02;2025;8;August;3;2;Saturday;2025-08
2025-08-03;2025;8;August;3;3;Sunday;2025-08
2025-08-04;2025;8;August;3;4;Monday;2025-08
2025-08-05;2025;8;August;3;5;Tuesday;2025-08
2025-08-06;2025;8;August;3;6;Wednesday;2025-08
2025-08-07;2025;8;August;3;7;Thursday;2025-08
2025-08-08;2025;8;August;3;8;Friday;2025-08
2025-08-09;2025;8;August;3;9;Saturday;2025-08
2025-08-10;2025;8;August;3;10;Sunday;2025-08
2025-08-11;2025;8;August;3;11;Monday;2025-08
2025-08-12;2025;8;August;3;12;Tuesday;2025-08
2025-08-13;2025;8;August;3;13;Wednesday;2025-08
2025-08-14;2025;8;August;3;14;Thursday;2025-08
2025-08-15;2025;8;August;3;15;Friday;2025-08
2025-08-16;2025;8;August;3;16;Saturday;2025-08
2025-08-17;2025;8;August;3;17;Sunday;2025-08
2025-08-18;2025;8;August;3;18;Monday;2025-08
2025-08-19;2025;8;August;3;19;Tuesday;2025-08
2025-08-20;2025;8;August;3;20;Wednesday;2025-08
2025-08-21;2025;8;August;3;21;Thursday;2025-08
2025-08-22;2025;8;August;3;22;Friday;2025-08
2025-08-23;2025;8;August;3;23;Saturday;2025-08
2025-08-24;2025;8;August;3;24;Sunday;2025-08
2025-08-25;2025;8;August;3;25;Monday;2025-08
2025-08-26;2025;8;August;3;26;Tuesday;2025-08
2025-08-27;2025;8;August;3;27;Wednesday;2025-08
2025-08-28;2025;8;August;3;28;Thursday;2025-08
2025-08-29;2025;8;August;3;29;Friday;2025-08
2025-08-30;2025;8;August;3;30;Saturday;2025-08
2025-08-31;2025;8;August;3;31;Sunday;2025-08
2025-09-01;2025;9;September;3;1;Monday;2025-09
2025-09-02;2025;9;September;3;2;Tuesday;2025-09
2025-09-03;2025;9;September;3;3;Wednesday;2025-09
2025-09-04;2025;9;September;3;4;Thursday;2025-09
2025-09-05;2025;9;September;3;5;Friday;2025-09
2025-09-06;2025;9;September;3;6;Saturday;2025-09
2025-09-07;2025;9;September;3;7;Sunday;2025-09
2025-09-08;2025;9;September;3;8;Monday;2025-09
2025-09-09;2025;9;September;3;9;Tuesday;2025-09
2025-09-10;2025;9;September;3;10;Wednesday;2025-09
2025-09-11;2025;9;September;3;11;Thursday;2025-09
2025-09-12;2025;9;September;3;12;Friday;2025-09
2025-09-13;2025;9;September;3;13;Saturday;2025-09
2025-09-14;2025;9;September;3;14;Sunday;2025-09
2025-09-15;2025;9;September;3;15;Monday;2025-09
2025-09-16;2025;9;September;3;16;Tuesday;2025-09
2025-09-17;2025;9;September;3;17;Wednesday;2025-09
2025-09-18;2025;9;September;3;18;Thursday;2025-09
2025-09-19;2025;9;September;3;19;Friday;2025-09
2025-09-20;2025;9;September;3;20;Saturday;2025-09
2025-09-21;2025;9;September;3;21;Sunday;2025-09
2025-09-22;2025;9;September;3;22;Monday;2025-09
2025-09-23;2025;9;September;3;23;Tuesday;2025-09
2025-09-24;2025;9;September;3;24;Wednesday;2025-09
2025-09-25;2025;9;September;3;25;Thursday;2025-09
2025-09-26;2025;9;September;3;26;Friday;2025-09
2025-09-27;2025;9;September;3;27;Saturday;2025-09
2025-09-28;2025;9;September;3;28;Sunday;2025-09
2025-09-29;2025;9;September;3;29;Monday;2025-09
2025-09-30;2025;9;September;3;30;Tuesday;2025-09
2025-10-01;2025;10;October;4;1;Wednesday;2025-10
2025-10-02;2025;10;October;4;2;Thursday;2025-10
2025-10-03;2025;10;October;4;3;Friday;2025-10
2025-10-04;2025;10;October;4;4;Saturday;2025-10
2025-10-05;2025;10;October;4;5;Sunday;2025-10
2025-10-06;2025;10;October;4;6;Monday;2025-10
2025-10-07;2025;10;October;4;7;Tuesday;2025-10
2025-10-08;2025;10;October;4;8;Wednesday;2025-10
2025-10-09;2025;10;October;4;9;Thursday;2025-10
2025-10-10;2025;10;October;4;10;Friday;2025-10
2025-10-11;2025;10;October;4;11;Saturday;2025-10
2025-10-12;2025;10;October;4;12;Sunday;2025-10
2025-10-13;2025;10;October;4;13;Monday;2025-10
2025-10-14;2025;10;October;4;14;Tuesday;2025-10
2025-10-15;2025;10;October;4;15;Wednesday;2025-10
2025-10-16;2025;10;October;4;16;Thursday;2025-10
2025-10-17;2025;10;October;4;17;Friday;2025-10
2025-10-18;2025;10;October;4;18;Saturday;2025-10
2025-10-19;2025;10;October;4;19;Sunday;2025-10
2025-10-20;2025;10;October;4;20;Monday;2025-10
2025-10-21;2025;10;October;4;21;Tuesday;2025-10
2025-10-22;2025;10;October;4;22;Wednesday;2025-10
2025-10-23;2025;10;October;4;23;Thursday;2025-10
2025-10-24;2025;10;October;4;24;Friday;2025-10
2025-10-25;2025;10;October;4;25;Saturday;2025-10
2025-10-26;2025;10;October;4;26;Sunday;2025-10
2025-10-27;2025;10;October;4;27;Monday;2025-10
2025-10-28;2025;10;October;4;28;Tuesday;2025-10
2025-10-29;2025;10;October;4;29;Wednesday;2025-10
2025-10-30;2025;10;October;4;30;Thursday;2025-10
2025-10-31;2025;10;October;4;31;Friday;2025-10
2025-11-01;2025;11;November;4;1;Saturday;2025-11
2025-11-02;2025;11;November;4;2;Sunday;2025-11
2025-11-03;2025;11;November;4;3;Monday;2025-11
2025-11-04;2025;11;November;4;4;Tuesday;2025-11
2025-11-05;2025;11;November;4;5;Wednesday;2025-11
2025-11-06;2025;11;November;4;6;Thursday;2025-11
2025-11-07;2025;11;November;4;7;Friday;2025-11
2025-11-08;2025;11;November;4;8;Saturday;2025-11
2025-11-09;2025;11;November;4;9;Sunday;2025-11
2025-11-10;2025;11;November;4;10;Monday;2025-11
2025-11-11;2025;11;November;4;11;Tuesday;2025-11
2025-11-12;2025;11;November;4;12;Wednesday;2025-11
2025-11-13;2025;11;November;4;13;Thursday;2025-11
2025-11-14;2025;11;November;4;14;Friday;2025-11
2025-11-15;2025;11;November;4;15;Saturday;2025-11
2025-11-16;2025;11;November;4;16;Sunday;2025-11
2025-11-17;2025;11;November;4;17;Monday;2025-11
2025-11-18;2025;11;November;4;18;Tuesday;2025-11
2025-11-19;2025;11;November;4;19;Wednesday;2025-11
2025-11-20;2025;11;November;4;20;Thursday;2025-11
2025-11-21;2025;11;November;4;21;Friday;2025-11
2025-11-22;2025;11;November;4;22;Saturday;2025-11
2025-11-23;2025;11;November;4;23;Sunday;2025-11
2025-11-24;2025;11;November;4;24;Monday;2025-11
2025-11-25;2025;11;November;4;25;Tuesday;2025-11
2025-11-26;2025;11;November;4;26;Wednesday;2025-11
2025-11-27;2025;11;November;4;27;Thursday;2025-11
2025-11-28;2025;11;November;4;28;Friday;2025-11
2025-11-29;2025;11;November;4;29;Saturday;2025-11
2025-11-30;2025;11;November;4;30;Sunday;2025-11
2025-12-01;2025;12;December;4;1;Monday;2025-12
2025-12-02;2025;12;December;4;2;Tuesday;2025-12
2025-12-03;2025;12;December;4;3;Wednesday;2025-12
2025-12-04;2025;12;December;4;4;Thursday;2025-12
2025-12-05;2025;12;December;4;5;Friday;2025-12
2025-12-06;2025;12;December;4;6;Saturday;2025-12
2025-12-07;2025;12;December;4;7;Sunday;2025-12
2025-12-08;2025;12;December;4;8;Monday;2025-12
2025-12-09;2025;12;December;4;9;Tuesday;2025-12
2025-12-10;2025;12;December;4;10;Wednesday;2025-12
2025-12-11;2025;12;December;4;11;Thursday;2025-12
2025-12-12;2025;12;December;4;12;Friday;2025-12
2025-12-13;2025;12;December;4;13;Saturday;2025-12
2025-12-14;2025;12;December;4;14;Sunday;2025-12
2025-12-15;2025;12;December;4;15;Monday;2025-12
2025-12-16;2025;12;December;4;16;Tuesday;2025-12
2025-12-17;2025;12;December;4;17;Wednesday;2025-12
2025-12-18;2025;12;December;4;18;Thursday;2025-12
2025-12-19;2025;12;December;4;19;Friday;2025-12
2025-12-20;2025;12;December;4;20;Saturday;2025-12
2025-12-21;2025;12;December;4;21;Sunday;2025-12
2025-12-22;2025;12;December;4;22;Monday;2025-12
2025-12-23;2025;12;December;4;23;Tuesday;2025-12
2025-12-24;2025;12;December;4;24;Wednesday;2025-12
2025-12-25;2025;12;December;4;25;Thursday;2025-12
2025-12-26;2025;12;December;4;26;Friday;2025-12
2025-12-27;2025;12;December;4;27;Saturday;2025-12
2025-12-28;2025;12;December;4;28;Sunday;2025-12
2025-12-29;2025;12;December;4;29;Monday;2025-12
2025-12-30;2025;12;December;4;30;Tuesday;2025-12
2025-12-31;2025;12;December;4;31;Wednesday;2025-12
